,2014/07/01,1486.79,1488.14,1476.39,1481.66,15197377
,2014/07/02,1481.33,1486.41,1476.58,1484.84,16722725
,2014/07/03,1481.85,1492.1,1479.06,1489.55,17188506
,2014/07/04,1489.82,1495.04,1489.46,1492.46,15844620
,2014/07/07,1493.07,1497.72,1488.51,1492.84,15969802
,2014/07/08,1491.72,1493.83,1484.13,1491.96,13725069
,2014/07/09,1490.94,1491.97,1474.87,1475.14,18727134
,2014/07/10,1475.18,1478.71,1468.73,1471.17,16574428
,2014/07/11,1462.35,1474.07,1460.91,1468.54,18217828
,2014/07/14,1468.69,1483,1466.41,1482.78,19829692
,2014/07/15,1481.11,1487.2,1478.44,1484.66,21572336
,2014/07/16,1482.33,1490.19,1480.6,1483.18,24542176
,2014/07/17,1479.12,1479.29,1468.38,1473.67,16484741
,2014/07/18,1466.58,1486.27,1464.75,1478.76,20901980
,2014/07/21,1478.73,1483.62,1474.8,1479.84,16760296
,2014/07/22,1476.23,1500.5,1475.6,1495.93,24840828
,2014/07/23,1495.25,1512.37,1494.93,1506.76,28578208
,2014/07/24,1508.98,1546.19,1508.98,1541.9,44311528
,2014/07/25,1546.52,1557.58,1541.3,1557.02,31206104
,2014/07/28,1566.33,1617.48,1566.33,1609.48,66664104
,2014/07/29,1610.91,1621.06,1601.98,1611.85,46806232
,2014/07/30,1606.72,1619.18,1598.26,1601.38,44338156
,2014/07/31,1602.67,1622.65,1597.27,1621.85,34743916
,2014/08/01,1616.79,1639.32,1607.56,1607.97,44267504
,2014/08/04,1614.9,1644.96,1608.31,1644.63,44540976
,2014/08/05,1644.23,1646.32,1622.03,1632.41,33190832
,2014/08/06,1624.03,1626.92,1602.99,1619.01,32836372
,2014/08/07,1619.2,1623,1592.04,1593.42,35582568
,2014/08/08,1595.19,1600.8,1586.09,1595.66,28411624
,2014/08/11,1601.31,1621.71,1600.68,1619.25,27728836
,2014/08/12,1615.14,1615.14,1601.56,1607.91,24999882
,2014/08/13,1609.46,1619.19,1596.22,1610.14,30104196
,2014/08/14,1610.39,1614.58,1595.17,1596.84,27945672
,2014/08/15,1598.52,1615.88,1593.22,1612,27406588
,2014/08/18,1614.23,1623.9,1607.44,1613.13,26290498
,2014/08/19,1614.39,1615.21,1598.06,1609.09,28400784
,2014/08/20,1605.5,1605.51,1596.96,1600.34,24108182
,2014/08/21,1599.55,1600.28,1576.32,1587.03,27277976
,2014/08/22,1585.11,1596.29,1583.61,1594.18,23953436
,2014/08/25,1594.71,1595.44,1575.71,1577.43,26501264
,2014/08/26,1575.78,1584.15,1568.74,1573.39,23621600
,2014/08/27,1573.52,1578.69,1569.98,1572.79,16419321
,2014/08/28,1573.53,1580.68,1563.4,1563.89,20790154
,2014/08/29,1570.4,1582.28,1565.52,1581.28,22012800
,2014/09/01,1582.02,1587.39,1576.22,1586.02,22132872
,2014/09/02,1588.62,1609.01,1581.14,1607.5,34680712
,2014/09/03,1609.3,1628.19,1608.95,1624.03,38409636
,2014/09/04,1626.91,1638.89,1621.24,1637.29,32700248
,2014/09/05,1643.28,1657.61,1641.11,1656.24,41870436
,2014/09/09,1657.61,1660.01,1642.44,1645.11,30664280
,2014/09/10,1637.49,1637.49,1626.11,1629.99,29300722
,2014/09/11,1627.96,1648.96,1619.48,1622.81,36456712
,2014/09/12,1619.05,1630.28,1614.54,1630.2,28468770
,2014/09/15,1625.87,1626.05,1614.23,1624.07,34391188
,2014/09/16,1626.39,1629.69,1598.86,1600.92,50454136
,2014/09/17,1607.16,1609.53,1596.54,1604.92,29895640
,2014/09/18,1601.5,1616.48,1596.71,1609.87,33474020
,2014/09/19,1609.86,1623.24,1604.71,1619.58,30389532
,2014/09/22,1613.81,1613.81,1580.97,1583.89,29978968
,2014/09/23,1584.29,1598.65,1584.16,1595.64,24024640
,2014/09/24,1589.35,1628.51,1586.7,1625.73,45332704
,2014/09/25,1633.44,1636.22,1613.53,1618.52,37502536
,2014/09/26,1613.91,1618.32,1605.53,1616.09,26200040
,2014/09/29,1621.09,1627.19,1613.79,1621.82,39204920
,2014/09/30,1623.04,1625.01,1615.07,1619.7,33379744
,2014/10/08,1625.26,1633.62,1614.5,1633.57,38780252
,2014/10/09,1633.54,1639.17,1624.22,1634.04,40357232
,2014/10/10,1626.58,1630.37,1616.67,1621.71,36843148
,2014/10/13,1614.2,1614.2,1593.66,1605.99,33876188
,2014/10/14,1603.35,1614.98,1595.25,1600.3,33006892
,2014/10/15,1599.9,1615.31,1593.39,1612.77,34583316
,2014/10/16,1602.38,1629.09,1599.16,1608.74,49694488
,2014/10/17,1608.98,1616.37,1592.7,1608.52,43252612
,2014/10/20,1613.8,1615.39,1606.12,1612.4,28673982
,2014/10/21,1612.1,1615.29,1599.86,1600.84,30366662
,2014/10/22,1602.45,1612.75,1596.14,1597.13,29282308
,2014/10/23,1595.82,1604.5,1584.62,1586.56,33975768
,2014/10/24,1587.91,1592.32,1580.71,1583.42,26883452
,2014/10/27,1572.89,1572.89,1556.55,1559.91,24731600
,2014/10/28,1562.75,1586.3,1562.75,1585.74,27577348
,2014/10/29,1591.28,1616.06,1586.17,1608.4,40004848
,2014/10/30,1607.48,1623.74,1602.55,1619.1,50078056
,2014/10/31,1623.65,1665.46,1623.32,1657.29,83294944
,2014/11/03,1662.75,1664.43,1646.43,1651.05,58947424
,2014/11/04,1648.11,1650.81,1639.68,1645.62,58389292
,2014/11/05,1645.29,1647.67,1632.72,1637.63,51813328
,2014/11/06,1639.93,1643.19,1625.99,1635.96,40193344
,2014/11/07,1637.14,1667.7,1633.03,1640.32,67293592
